TIC_ID,Label,Disposition,TOI_Number,Period,Duration,Depth,SNR,Transit_Count,OddEvenRatio,ShapeMetric,VariabilityMetric,Teff,Radius,Mass,logg,Tmag,numcont,contratio
314865962,Transit,PC,208.01,10.8509,0.179,0.00062,8.12,2,0.5166,0.1707,0.0012,5493.0,0.978380978107452,0.98,4.43001,10.3539,nan,nan
97409519,Transit,KP,113.01,3.3724,0.089,0.01455,72.45,8,0.9969,0.662,0.00363,6050.0,1.02,1.17,4.45061,12.1893,nan,nan
349095149,Transit,CP,1221.01,14.8912,0.2,0.00049,6.28,1,0.8166,0.1351,0.00106,5802.0,1.01813995838165,1.01,4.44521,10.0564,nan,nan
421894914,Transit,PC,1056.01,5.3092,0.125,0.00036,10.07,5,0.9185,0.1515,0.00082,6124.3,1.36962997913361,1.16,4.38,9.6663,nan,nan
350618622,Transit,CP,201.01,13.5783,0.187,0.00041,13.13,2,0.802,0.2189,0.0005,6461.8,1.3303099870681763,1.31,4.35,8.5822,nan,nan
142019343,Transit,PC,4413.01,8.0945,0.2,0.00205,28.31,3,0.6306,0.4014,0.00145,5364.0,0.89,0.93,4.5,9.6256,nan,nan
238176110,Transit,KP,116.01,2.7994,0.093,0.00464,23.44,9,0.9487,0.5034,0.0018,4920.0,0.906655013561249,0.81,4.49371,11.0443,nan,nan
270341214,Transit,PC,173.01,10.8437,0.2,0.00065,17.88,2,0.0162,0.2922,0.00061,6409.0,1.46862995624542,1.41,4.20097,8.8784,nan,nan
273985865,Transit,PC,1208.01,9.1608,0.198,0.00088,10.11,3,0.6584,0.1564,0.00161,5626.0,0.823019027709961,0.98,4.56195,10.5924,nan,nan
25155310,Transit,KP,114.01,3.2854,0.131,0.00618,89.37,8,0.987,0.675,0.00134,5800.0,1.24175000190735,1.01,4.28004,10.6103,nan,nan
30853470,Transit,PC,807.01,6.2884,0.154,0.00068,6.39,4,0.9154,0.0959,0.00215,4662.0,0.693073987960815,0.74,4.56787,11.3042,nan,nan
278862750,Transit,PC,4369.01,5.9692,0.2,0.00043,9.71,4,0.8745,0.1357,0.00092,6730.0,2.5,1.43,3.8,9.329001,nan,nan
231670397,Transit,KP,104.01,4.0905,0.2,0.00331,81.33,6,0.9362,0.5423,0.00095,6036.0,2.21866989135742,1.16,3.93359,9.8638,nan,nan
391904697,Transit,PC,705.01,9.966,0.2,0.00104,9.23,2,0.5358,0.1231,0.00225,5249.18,0.877876996994019,0.9,4.68369,11.4994,nan,nan
237914496,Transit,PC,702.01,13.6218,0.2,0.00087,5.87,2,0.7304,0.1218,0.00248,4015.0,0.577735006809235,0.62,4.61505,11.8371,nan,nan
391903064,Transit,CP,3353.01,3.3507,0.2,0.02705,53.32,8,0.9821,0.8351,0.01532,6365.0,1.02,1.0,4.54516,8.7843,nan,nan
279741379,Transit,CP,186.01,7.8914,0.141,0.00067,26.16,3,0.2758,0.2905,0.0005,4628.53,0.71,0.73,4.32239,6.9934,nan,nan
52368076,Transit,CP,125.01,4.6563,0.119,0.00087,17.43,5,0.9543,0.2105,0.0011,5154.0,0.85,0.91,4.47072,10.1985,nan,nan
32090583,Transit,PC,218.01,10.7494,0.198,0.01214,20.51,2,0.8616,0.3128,0.0105,3146.0,0.28453800082206726,0.259077,4.438,13.3292,nan,nan
266980320,Transit,CP,118.01,6.0345,0.077,0.00161,34.35,4,0.9864,0.5029,0.00066,5586.0,1.05,0.97,4.36763,9.179,nan,nan
388104525,Transit,KP,112.01,2.502,0.104,0.01259,95.72,11,0.9772,0.7089,0.00244,5650.0,1.13732004165649,1.0,4.28867,11.6035,nan,nan
141608198,Transit,PC,210.01,8.994,0.087,0.00328,7.67,3,0.0024,0.227,0.00453,3275.0,0.330146014690399,0.311261,4.438,12.5395,nan,nan
31637479,Transit,PC,4182.01,4.8884,0.123,0.00021,6.75,5,0.8197,0.0914,0.00069,5399.6,1.56,0.94,3.9,9.2747,nan,nan
309791156,Transit,PC,533.01,9.7774,0.16,0.00113,11.89,2,0.1783,0.2054,0.00171,4666.1,0.885680019855499,0.74,4.23,10.9621,nan,nan
231702397,Transit,CP,122.01,5.077,0.046,0.00564,10.17,5,0.9992,0.2926,0.00631,3318.0,0.334125012159348,0.315858,4.9581,13.084,nan,nan
141770198,Transit,PC,4555.01,6.4625,0.188,0.00012,6.68,4,0.9761,0.0868,0.00041,6199.0,1.40972995758057,1.19,4.21534,8.1676,nan,nan
234345288,Transit,PC,213.01,9.9805,0.135,0.0009,13.41,2,0.278,0.2605,0.00092,4566.4,0.67,0.72,4.93,9.7806,nan,nan
391949880,Transit,CP,128.01,4.591,0.2,0.00049,22.75,6,0.4605,0.2483,0.00055,6086.0,1.13,1.13,4.26269,7.9849,nan,nan
177258735,Transit,PC,801.01,9.5598,0.19,0.00019,11.74,2,0.3861,0.1507,0.00033,6283.39,1.3560899496078491,1.23,4.438,7.5412,nan,nan
52307802,Transit,PC,4360.01,7.1298,0.025,0.00388,6.13,3,0.7053,0.273,0.00514,3246.0,0.308246999979019,0.286048,4.91671,12.747,nan,nan
300710077,Transit,PC,789.01,14.2094,0.023,0.00438,7.53,1,0.5568,0.3793,0.00328,3471.0,0.371140003204346,0.358579,4.87707,11.9802,nan,nan
308994098,Transit,PC,790.01,13.6726,0.2,0.00147,28.32,2,0.0068,0.5175,0.00061,6988.0,1.46080005168915,1.52,4.25649,8.9914,nan,nan
375059587,Transit,PC,786.01,13.2954,0.125,0.00044,6.01,2,0.0222,0.1151,0.00095,5853.8,1.31,1.06,4.22099,9.8192,nan,nan
355509914,Transit,PC,202.01,1.7404,0.052,0.01263,9.13,16,0.7613,0.1029,0.03174,4746.0,0.820258021354675,0.73,4.52746,14.6723,nan,nan
139879080,Transit,PC,6899.01,7.0138,0.2,0.00018,5.95,3,0.7222,0.0573,0.00071,5503.0,0.930477976799011,0.97,4.48743,9.3703,nan,nan
278683844,Transit,PC,119.01,10.6913,0.2,0.00119,23.61,2,0.0084,0.3923,0.00081,5332.0,0.82,0.86,4.56429,9.2789,nan,nan
219175972,Transit,PC,2441.01,6.7816,0.2,0.00411,13.66,4,0.6226,0.1843,0.00707,3478.0,0.467689990997314,0.465235,4.76582,12.8332,nan,nan
55652896,Transit,CP,216.01,11.2209,0.056,0.00555,17.18,2,0.5795,0.4687,0.00235,5025.77,0.801735997200012,0.84,4.66348,11.5748,nan,nan
364393429,Transit,PC,1207.01,7.5433,0.194,0.00024,6.34,3,0.5852,0.1166,0.00067,6282.0,1.10742998123169,1.1,4.37809,9.2397,nan,nan
55650590,Transit,CP,206.01,14.7316,0.2,0.00347,13.17,1,0.3758,0.233,0.00433,3358.0,0.351675987243652,0.336144,4.438,12.4312,nan,nan
38510224,Transit,PC,711.01,8.0438,0.198,0.00089,7.75,3,0.401,0.083,0.00265,4356.0,0.68140697479248,0.68,4.60471,11.7481,nan,nan
421951960,Transit,PC,4183.01,13.8757,0.2,0.0008,14.64,2,0.0133,0.2834,0.00065,6407.0,1.24512004852295,1.257,4.35687,9.10478,nan,nan
281541555,Transit,KP,115.01,4.7434,0.085,0.01033,15.35,5,0.7782,0.269,0.00926,5377.0,0.877584993839264,0.96,4.42476,13.0417,nan,nan
269849065,Transit,PC,6708.01,11.7069,0.192,0.00308,9.8,2,0.9651,0.179,0.00616,3264.0,0.320782005786896,0.300458,4.90343,12.8676,nan,nan
29344935,Transit,KP,109.01,2.7704,0.091,0.01296,38.35,10,0.9638,0.3213,0.00777,5346.0,0.98486602306366,0.93,4.48823,13.2366,nan,nan
260004324,Transit,CP,704.01,4.1558,0.179,0.00026,6.82,6,0.787,0.0715,0.00112,3625.0,0.50406801700592,0.502062,4.7833,10.1428,nan,nan
388106759,Transit,PC,810.01,8.1236,0.137,0.00051,6.2,3,0.6275,0.1073,0.00128,5704.59,1.40065002441406,1.02,4.09162,10.5173,nan,nan
183979262,False Positive,FP,183.01,3.5248,0.2,0.00098,33.99,7,0.9024,0.3171,0.00092,6270.0,2.72192,1.34,3.61332,8.3291,nan,nan
300871545,False Positive,FP,184.01,4.8159,0.121,0.00349,24.76,5,0.8966,0.614,0.00114,6380.0,1.44956004619598,1.41,4.24852,10.0433,nan,nan
278866211,False Positive,FP,189.01,2.1973,0.058,0.00386,44.65,12,0.9465,0.4089,0.00174,6054.0,1.04092,1.21,4.39416,10.2638,nan,nan
260271203,False Positive,FP,207.01,5.6501,0.127,0.03615,65.75,4,0.9536,0.6428,0.00977,5963.0,1.21025,1.18,4.31132,13.4734,nan,nan
260043723,False Positive,FP,217.01,3.1403,0.164,0.00043,20.78,8,0.8273,0.1754,0.00059,6278.0,1.55,1.26,4.08153,8.735,nan,nan
260609205,False Positive,FP,219.01,4.4605,0.187,0.01852,78.24,6,0.9915,0.561,0.00528,6354.0,2.23891997337341,1.19,4.24472,12.7222,nan,nan
316937670,False Positive,FP,221.01,1.0005,0.2,0.00087,10.15,27,0.6739,0.039,0.00464,3765.0,0.525,0.385618,4.75169,12.1535,nan,nan
350445771,False Positive,FP,258.01,6.9775,0.2,0.00521,28.74,3,0.9843,0.3924,0.00417,6474.57,1.98958003520966,1.32,4.26363,11.0932,nan,nan
277103955,False Positive,FP,284.01,4.6926,0.2,0.0003,10.96,5,0.7856,0.1212,0.00073,4779.8,0.78,0.74,4.57,9.2927,nan,nan
167418898,False Positive,FP,383.01,8.3629,0.19,0.00056,8.96,3,0.9888,0.1222,0.00122,5951.0,1.27,nan,nan,10.2401,nan,nan
167754523,False Positive,FP,409.01,11.7359,0.2,0.00046,13.05,2,0.4768,0.1844,0.00072,4913.8,0.73,0.82,4.54,9.1536,nan,nan
349790953,False Positive,FP,632.01,1.5518,0.098,0.00399,37.04,17,0.7898,0.2037,0.00343,4997.1,12.23,nan,2.36,10.3357,nan,nan
55383975,False Positive,FP,694.01,13.3824,0.2,0.00261,20.56,1,0.4674,0.2503,0.00208,5354.96,1.04170000553131,0.93,4.45894,11.2595,nan,nan
391821647,False Positive,FP,708.01,10.8147,0.2,0.0013,12.21,2,0.8362,0.1983,0.00217,6636.0,0.975121,1.52,4.60452,10.8623,nan,nan
309402106,False Positive,FP,710.01,5.5993,0.2,0.00234,36.8,4,0.7829,0.5206,0.00161,7053.0,1.59688,1.71,4.22463,8.488401,nan,nan
300013921,False Positive,FP,793.01,5.0408,0.137,0.00037,5.61,5,0.6174,0.0679,0.00156,5379.0,0.8,0.95,4.50461,10.8578,nan,nan
41227743,False Positive,FP,804.01,0.5435,0.19,0.00014,5.84,51,0.975,0.0115,0.00156,5988.0,nan,nan,4.30679,10.714,nan,nan
30312676,False Positive,FP,817.01,11.5835,0.2,0.00774,33.76,2,0.514,0.5191,0.00456,8747.0,2.23767,nan,4.08022,11.3029,nan,nan
271596418,False Positive,FP,868.01,11.3949,0.018,0.0014,5.51,2,0.7131,0.3748,0.00144,5670.45,1.18329,1.01,4.16644,10.7109,nan,nan
50309953,False Positive,FP,1109.01,3.5175,0.1,0.00069,17.68,7,0.4034,0.1741,0.00089,5317.0,0.91,0.94,4.49,9.7906,nan,nan
33878688,False Positive,FP,1210.01,6.0273,0.048,0.00115,6.5,4,0.861,0.1514,0.00187,5168.33,0.77,0.88,4.60584,11.1762,nan,nan
382437043,False Positive,FP,1223.01,13.8177,0.023,0.00144,10.56,2,0.3756,0.4407,0.00079,6516.0,2.0417799949646,1.3,3.99366,9.3109,nan,nan
167009792,False Positive,FP,1941.01,4.5258,0.081,0.0002,6.73,6,0.9325,0.1249,0.00054,5883.8,2.1,1.08,3.77,8.5122,nan,nan
308919449,False Positive,FP,1942.01,6.0418,0.2,0.00218,29.51,4,0.6891,0.3293,0.00188,5614.1,1.02,1.06,4.34,9.8146,nan,nan
300011941,False Positive,FP,4357.01,5.2946,0.2,0.00316,35.93,5,0.8876,0.366,0.00225,5789.58,1.12713003158569,1.04,4.35115,10.5385,nan,nan
